baterryNo,U,A,T,R,recordtime,recordTime,SOC
5,2206,104,129,4738,2022/1/3 12:46,01031246,0.9948405
5,2206,102,130,4738,2022/1/3 12:46,01031246,0.9948405
5,2206,102,130,4738,2022/1/3 12:46,01031246,0.9948405
5,2206,101,130,4738,2022/1/3 12:47,01031247,0.99479
5,2206,102,130,4738,2022/1/3 12:47,01031247,0.99479
5,2205,78,130,4738,2022/1/3 12:47,01031247,0.99479
5,2206,102,130,4738,2022/1/3 12:47,01031247,0.99479
5,2207,102,130,4738,2022/1/3 12:47,01031247,0.99479
5,2206,102,130,4738,2022/1/3 12:47,01031247,0.99479
5,2207,88,130,4738,2022/1/3 12:48,01031248,0.994746
5,2207,102,130,4738,2022/1/3 12:48,01031248,0.994746
5,2207,104,130,4738,2022/1/3 12:48,01031248,0.994746
5,2208,104,130,4738,2022/1/3 12:48,01031248,0.994746
5,2208,102,130,4738,2022/1/3 12:48,01031248,0.994746
5,2208,103,130,4738,2022/1/3 12:48,01031248,0.994746
5,2208,102,130,4738,2022/1/3 12:49,01031249,0.994695
5,2208,102,130,4738,2022/1/3 12:49,01031249,0.994695
5,2222,91,130,4738,2022/1/3 12:49,01031249,0.994695
5,2208,91,130,4738,2022/1/3 12:49,01031249,0.994695
5,2208,103,130,4738,2022/1/3 12:49,01031249,0.994695
5,2208,103,130,4738,2022/1/3 12:49,01031249,0.994695
5,2208,102,130,4738,2022/1/3 12:50,01031250,0.994644
5,2208,102,130,4738,2022/1/3 12:50,01031250,0.994644
5,2206,102,130,4738,2022/1/3 12:50,01031250,0.994644
5,2208,103,130,4738,2022/1/3 12:50,01031250,0.994644
5,2208,102,130,4738,2022/1/3 12:50,01031250,0.994644
5,2208,101,130,4738,2022/1/3 12:50,01031250,0.994644
5,2208,103,130,4738,2022/1/3 12:51,01031251,0.9945925
5,2208,102,130,4738,2022/1/3 12:51,01031251,0.9945925
5,2207,102,130,4738,2022/1/3 12:51,01031251,0.9945925
5,2208,100,130,4738,2022/1/3 12:51,01031251,0.9945925
5,2209,102,130,4738,2022/1/3 12:51,01031251,0.9945925
5,2209,102,130,4738,2022/1/3 12:51,01031251,0.9945925
5,2206,91,130,4738,2022/1/3 12:52,01031252,0.994547
5,2209,91,130,4738,2022/1/3 12:52,01031252,0.994547
5,2209,102,130,4738,2022/1/3 12:52,01031252,0.994547
5,2207,101,130,4738,2022/1/3 12:52,01031252,0.994547
5,2209,103,130,4738,2022/1/3 12:52,01031252,0.994547
5,2209,102,130,4738,2022/1/3 12:52,01031252,0.994547
5,2210,103,130,4738,2022/1/3 12:53,01031253,0.9944955
5,2210,103,130,4738,2022/1/3 12:53,01031253,0.9944955
5,2208,102,130,4738,2022/1/3 12:53,01031253,0.9944955
5,2210,103,130,4738,2022/1/3 12:53,01031253,0.9944955
5,2210,101,130,4738,2022/1/3 12:53,01031253,0.9944955
5,2208,94,130,4738,2022/1/3 12:53,01031253,0.9944955
5,2210,102,130,4738,2022/1/3 12:54,01031254,0.9944445
5,2210,102,130,4738,2022/1/3 12:54,01031254,0.9944445
5,2208,102,130,4738,2022/1/3 12:54,01031254,0.9944445
5,2210,105,130,4738,2022/1/3 12:54,01031254,0.9944445
5,2210,102,130,4738,2022/1/3 12:54,01031254,0.9944445
5,2220,85,130,4738,2022/1/3 12:54,01031254,0.9944445
5,2210,85,130,4738,2022/1/3 12:55,01031255,0.994402
5,2216,102,130,4738,2022/1/3 12:55,01031255,0.994402
5,2210,93,130,4738,2022/1/3 12:55,01031255,0.994402
